店名,地址,平均評分,總評分人數,步行距離,預計步行時間,評論1,評論2,評論3,圖片資料夾
集客人間茶館-民權店,民權東路二段21號,4.5,6449,1.9 km,27 mins,[5⭐] 大年初五中午跟家人來用餐，春節無法訂位，當天客人不少，幸好還有座位。 選主廚私房料理，推薦鉄鋤雙醬雞腿，上桌時去骨雞腿仍在鉄盤上滋滋作響。 甜點焦糖布丁很好吃，而且很大一盤。 環境還不錯，但客人聊天聲大，建議店家把音樂關小，不然講話有點費力。 美中不足的是，女厠兩間只有一間能用，有點積水，老人家使用有些不便。,[5⭐] 食物非常美味，環境很舒適整潔，用餐體驗很舒服，跟別人在這邊吃飯留下不錯的回憶！：）,[5⭐] 臨近中山國小捷運站，走路3分鐘可以到達，空間雅緻舒適，不吵雜又可聊天，餐食美味，值得推薦的好餐廳，服務態度也很親切～,1_集客人間茶館-民權店
蕼蒔荳留,大龍街85巷8號,4.9,248,1.0 km,14 mins,[5⭐] 一間溫暖又安靜的小店，裡面有兩隻個性迥異的貓，一隻優雅，一隻可親。餐點選項不少，我和友人點的餐點都非常好吃。店內的座位不多，靠近中午的時候，人就越來越多，幾乎滿座。,[5⭐] 一直都沒有好好的紀錄這裡的美好， 我幾乎每次回台北我都會來。 這裡給我一種我夢想的家的溫暖。 闆娘養了可愛的柚子跟金桔 食物飲料都很美味，一切都那麼剛好。 實在太常來了，隨手拈來附上幾張食物照。,[4⭐] 2025/09/06   內附菜單   街口支付   390  蕼蒔荳留隱身於大同區巷弄中，店內氛圍溫馨自在，處處感受得到小巧思。入座時先被可愛店貓療癒一番 🐈，隨即而來的餐點讓人食指大動。招牌瑞典魚湯香氣十足，溫潤帶點異國風情，每一口都暖心又開胃 🍲。推薦一定要試試他們的貝果，搭配手工藍莓醬，酸甜平衡、口感層次豐富，是回訪理由之一 🥯💜。德式肉腸與燕麥雜糧優格同樣表現出色，份量足且健康。西班牙家常蛋餅也很受好評，餡料實在。店員親切、服務貼心，整體用餐體驗相當舒服 😌。不論是給自己一個悠閒早午餐，還是與友共度午後，都很推薦這裡。,2_蕼蒔荳留
Oasis Coffee & Bar,雙城街32巷9號,5,29,1.0 km,14 mins,[5⭐] 最近新開的咖，茶歐蕾很好喝，司康配的鮮奶油很解膩。會再回訪😍,[5⭐] 無水咖哩太好吃了(╥﹏╥)歐蕾層次很豐富，喜歡鮮奶茶的大推！,[5⭐] 餐點獨特，都是店長私心推薦挑選，店內氛圍放鬆，來喝喝茶，吃個點心很棒！,3_Oasis Coffee & Bar
What’s Life Coffee Roasters（最多四位入內及保持低聲細語勿大聲交談）,承德路三段247巷24號,4.7,588,0.2 km,3 mins,[5⭐] 圓山站巷弄裡甜點很有水準的咖啡廳  低調幹練設計感，加上營業至晚上十點，是不論放鬆或用電腦都很適合的環境  而且比起白天，好像更喜歡入夜後的山海 What’s Life Coffee Roasters - 📌個人喜好：8.1/10  #山海咖啡 #圓山站咖啡廳 #台北深夜咖啡廳,[5⭐] 很喜歡咖啡廳安靜宜人的氛圍老闆的黑膠收藏跟咖啡風味一樣舒適且可觀，店內裝潢和燈光塑造出輕鬆又迷人的獨特風格。 闆娘跟店員都很親切可愛，如果不小心聊天太投入也會溫柔的提醒音量，不曉得該點什麼飲料或甜點也會熱情推薦，讓人願意一訪再訪🥰 南瓜巴斯克超級好吃🧡,[5⭐] 剛剛吃到堪稱人生巴斯克！！ 貝貝南瓜巴斯克！ 光這個口味就夠新奇了吧！ 旁邊的鹹奶油畫龍點睛！！ 配起來就是鹹鹹帶有一點焦糖甜味的甜點 好久沒有這麼驚艷的味道！！！  因為帶小孩來看台北燈會順道終於有空可以外帶山海的蛋糕 山海果真不會讓人失望！！！ 開心果口味的巴斯克也是有著濃濃的堅果香氣 堪稱最近開心果相關產品泛濫的品項裡 最開心果的吧！！！  哎～～～好想可以再度回來咖啡店大吃甜點啊啊啊啊,4_What’s Life Coffee Roasters（最多四位入內及保持低聲細語勿大聲交談）
DOOGU COFFEE,昌吉街82號1樓,4.9,66,1.1 km,15 mins,[5⭐] 『DOOGU』是我外出用餐後11：30左右，隨手在周圍Google 地圖「搜尋咖啡店」時發現的。很喜歡這裡無論是內用或是在戶外喝咖啡的氛圍🩵  現場內用： 只有1 個固定式雙人座位  其他🈶3~4個 無靠背的折疊小椅子  現場聞香的咖啡選項有手沖三款： 哥倫比亞 $200 肯亞 $180 衣索比亞 $180  外帶購買耳掛包以上三款 （買五送一）。 耳掛式咖啡買回家後， 今天手沖~肯亞和衣索比亞 『DOOGU』 已收藏為我的愛店  現場手沖， 我選了『哥倫比亞』， 口感是偏酸👍🏻💘  不偏愛酸的朋友，建議先告知店家，請問哪款咖啡比較不酸喲！ 另外點了一杯🤩奶油冰滴咖啡，😍濃郁順口👍💘  布丁的部分： 口感綿密、蛋奶香濃郁，焦糖醬汁也處理得不錯。 唯一美中不足的是， 我個人偏愛帶有明顯香草風味的布丁。,[5⭐] 氛圍感滿滿的質感小店🤍下午坐在露營椅上啜一口香滑的拿鐵，看著週邊蘭州市場買菜的鄰里，或是去大同運動中心workout的人們，整個節奏很chill～,[5⭐] 轉角的小咖啡廳，內用座位滿少的，奶油冰滴很順口  應該是只有付現金的選項（？）,5_DOOGU COFFEE
吟遊壺裡 Coffee Roasters,延平北路三段61巷20號1樓,4.8,69,1.7 km,25 mins,[5⭐] 不喝咖啡也不太吃甜點的我，被別人評論貼的水餃照片給吸引而來，真是荒謬（？），但也因此發現了一家隱藏好店，兩位老闆人很好、很健談。 水餃的醬料搭配了3種-醬油、辣椒醬、陳年醋，老闆說水餃也是特別選的，大顆皮Q料又多，是韭菜，正中我的心🥰 一開始點的鍋煮奶茶（附蜂蜜），以及最後又請老闆推薦不常喝咖啡的我一杯適合的咖啡，老闆都有建議飲用方式，很貼心！  下次想去試試神魂顛島咖啡、芭樂透美式（聽起來就很怪，我喜歡），還有松露吐司，或是他們跟巷子口合作的炒麵（有哪家咖啡廳可以帶炒麵進去吃啦，超酷啊！🤣）,[5⭐] 咖啡超好喝、手工甜點也超好吃！ 鹹食也很讚～來這不怕沒東西吃😆,[5⭐] 兩個女生經營的自烘咖啡店。店內很安靜舒適。很喜歡今天點的這杯鍋煮奶茶，三溫糖跟一點肉桂粉的點綴，讓整杯奶茶喝起來有種溫潤的溫柔感。主理人自己做的奶油餅乾及手工司康也反應出用心。,6_吟遊壺裡 Coffee Roasters
Wild Open Space 北美館,中山北路三段181號B2,4.3,605,0.9 km,13 mins,"[1⭐] 先說結論：找個地方坐可以不如坐外面座椅上…..進來請丟掉你的任何期待…..不用點餐你就會氣飽。  千萬不要來🙅  上餐超慢：雖然，點餐時確實有提醒要20-30分鐘。我們也體諒在假日的時候可能顧客很多也不是太在乎，但是後來發現幾乎旁邊沒有任何一桌桌上有食物…..  40分鐘後，我們上來瓜仔肉燥飯跟照燒雞肉飯….然後他們忘了我們的兩杯咖啡…..還很驚訝的表情 （後來再20分鐘之後才做好…）  餐飲口味相當普通就算了（ 我們認了…因為北美館的餐廳沒有一次是合格的….之前的也是….never ever….), 重點是他的電鍋飯煮的也不行，太過濕軟（見照片）完全是不合格的情況。  管理大問題：好吧，我們真的不是老闆，但任何人都可以看得出來這是一個完全沒有訓練過的團隊。內場有五個人，外場完全沒有服務（因為是good court 自助式的…要自己收完碗盤），將還要讓所有的顧客等30-40分鐘才能夠吃到餐飲，如果開在真正的good court, 絕對撐不過一個禮拜。內場五個人都在裝忙….  完全無視客戶意見：我們當然是進來吃飯時候才覺得怪怪的，後來看了一下Google的差評實在是慘不忍睹，問題是有些差評都是在很久之前，可見他們完全無視客戶對他們的意見，也不會想要有任何的改善。  總結，99%的狀況，我極少在Google上面給任何一家餐廳評語（尤其是差評，尤其是一星的差評，如果有負的，我一定會負五星）。但是今天很飽，因為都被氣飽了。所以趁著這個氣頭上必須打上我的意見。  Right here, right now….(我就坐在它外面的椅子上打的…）  調整一下心情，我要去看展了。",[4⭐] 不能算是最好的選擇。  北美館裡最方便但也最讓人兩難的餐廳。環境漂亮、位置好，但價位高、限制多，餐點表現卻難撐起期待。適合休息片刻，不適合細細品嚐。  💰 價格偏高、低消限制 餐點與飲品價格不低，可能與館內地點與維護成本有關。 重點是有低消規定：每人至少要點一杯飲料。 即使你點了餐點，也仍需加點飲料。  👶 家庭客多、環境易吵雜 這不算缺點，但要有心理準備。 當孩童人數多時，整體音量會明顯上升。 若你想在藝術展後與朋友靜靜聊聊心得，這裡可能會被尖叫聲與焦慮的爸媽包圍。 也常有年長客人點杯咖啡就久坐佔位的情況，一個還好但我去幾次都有看見一人佔四人位置的狀況。  🧺 自助式服務，環境品質靠運氣 採自助式取餐與回收，因此整潔度取決於當天客人素質。 我運氣不太好，遇上沒整理的桌面，裝潢的在好看都白搭我真的是哭死。  🍰 餐點表現與價格不成正比 味道稱不上難吃，但與價格相比略顯不值。 「大人提拉米蘇」就是 Costco 大包裝現挖！藏都不藏！了不起負責！（所以我猜可頌應該也是買來加工的）  當天用餐總共有兩個盤子，一個裝可頌，一個是我。,[5⭐] 對北美館的餐點有驚艷到，去過不同博物館的餐廳，已經對食物不抱希望。看到菜單的餐點覺得很特別，都想品嚐看看，除了白飯有點黏之外，都還不錯。另外，飲品希望能增加紅茶。,7_Wild Open Space 北美館
波赫士領地精品咖啡館 提拉米蘇 千層蛋糕 BorgesPlace昌吉店,昌吉街22號,4.7,1153,0.9 km,13 mins,[4⭐] 這間頗富盛名的咖啡館，幾乎平日也有八成左右的客人，假日更是需要預約，居然能在昌吉街這老城區昌隆繁盛也真是不簡單。 通常推薦的都是早午餐，以所附的生菜沙拉來看的確是用料較精緻的，和一般咖啡廳的沙拉相較等級較高。法式麵包也有外酥內軟，大概就是那根德腸普通了一點，也有可能是我常吃的關係。 西西里咖啡creama不錯，可惜我背對著吧檯，沒看到他們的操作。 另外值得一提的是炸薯條真是好吃，和美式餐廳的水準一樣，喜歡吃薯條的人一定要加點，比麥當勞的更好吃。 唯一的缺點大概就是因為經常滿座，店內又有長條桌，常常需要併桌，所以覺得吵雜程度稍大了些。個人是覺得來這裡沒辦法單純喝咖啡放鬆。,[5⭐] 提拉米蘇和千層蛋糕超好吃，水嫩細緻不甜膩，咖啡杯很有質感，排餐也好吃，店內氣氛好好，適合帶本書閱讀或放空。,[5⭐] 平日早上前往享用早午餐。離捷運民權西站不遠，很適合好友聚會的場所。點了早午餐還可以免費點400元以下的飲料，選了單品的莊園咖啡，非常值得。甜點提拉米蘇和千層蛋糕也有水準。尤其喜歡這裡的提拉米蘇。,8_波赫士領地精品咖啡館 提拉米蘇 千層蛋糕 BorgesPlace昌吉店
POTTI & POTTI CAFE,民族西路225巷5號,4.5,963,1.1 km,16 mins,[5⭐] 套餐搭配的麵包調味很特別 吃起來好像帶著一點檸檬味🍋(?) 蘑菇湯喝起來不是很勾芡的口感 比較清爽感～ 奶油鮭魚燉飯比較意外的是居然是給一整片魚肉 但奶油白醬基底似乎還是更適合分食 吃到後面會有一點膩 龍蝦醬鮮蝦義大利麵比較像清炒的做法 滿滿蝦味非常美味😋 整體而言在台北市能以這樣的價格 吃到滿滿料的餐點也是越來越困難了 雖然離捷運站有一小段距離 但是若剛好有機會來到附近 還是很推薦一試喔🤎,"[4⭐] 食物好吃,服務不錯,氣氛很好,價格略高",[5⭐] 點了牛肝菌野菇燉飯，有乾杏鮑菇脆片很好吃,9_POTTI & POTTI CAFE
すき家 SUKIYA 民權西路店,民權西路75號,3.9,2561,1.1 km,14 mins,[4⭐] 幾天前跟朋友簡單吃Sukiya，簡單的牛丼好吃有濃郁日本味，套餐的青菜是蒜味很重的空心菜，很有日台混搭風😆，整體是好吃的，想念日本的時候吃了可以一秒回日本😄。,[3⭐] 我點的是秋葵牛燒肉丼 秋葵很多很讚，牛燒肉筋偏多 掃碼點餐/前台服務人員較冷漠 但在後台說話倒是很熱絡 1個人都必須做吧台～,[4⭐] 離民權西路捷運站很近，口味一般般不會太難吃，是方便快速用餐好地點。,10_すき家 SUKIYA 民權西路店
