店名,地址,平均評分,總評分人數,步行距離,預計步行時間,評論1,評論2,評論3,圖片資料夾
築本屋,104台灣臺北市中山區農安街1巷4號,4.5,,1.0 km,14 mins,[5⭐] 腰內豬排肉略薄很好入口，炸得酥脆但沒有油味挺好吃的，第一次見到的腰內唐揚相對而言比較有嚼勁，但也更能品嚐到肉汁的香味。  可以免費續飯而飯又不錯吃，推。,[1⭐] 第一次吃就很喜歡納為寶藏店家，還推薦給朋友，陸陸續續在ubereat上訂購也有半年以上，每次備注店家都有看到並且協助，真心感謝。  近幾次訂購發現，份量呼大呼小，第一次不以為意，想說應是特殊案例，至少三次了，今天打開花椰菜又更少，竟然連卡滋脆雞也變少了😑，另外，備注也沒有注意（店家顯示備注位置很多），招牌的豬排也越來越不好吃，只好跟不再用心的貴店說掰掰了。,[2⭐] 便宜好味道，衛生不可知，第一次在店外看到死蟑螂，第二次在店內看到2隻活的！！跟店員反應，剛好有其他位子可換，結果桌下一樣有死蟑螂，店員不敢打蟑螂請我男友幫忙，快嚇死。,1_築本屋
THE·春 Fusion 中山（最後收客時間 20:30）,10491台灣臺北市中山區中山北路三段23號,4.6,,1.1 km,16 mins,[4⭐] 🐟炙燒鮭魚明太子 $90 一口塞進去明太子的鮮味炸開 蠻爽的 🍱大脂海鮮珠寶盒 $780 我覺得鰹魚最好吃！！可惜沒有丹麥鰹魚系列 平常最喜鮭魚 但鮭魚有一種筋的感覺吃起來沒那麼爽 蟹鉗好吃！蟹味很讚！ 天使蝦很新鮮很好吃 烏賊（不確定 那個杯子）我平常沒什麼在吃 但這家的真的很好吃 其他東西像九孔鮑還好 🥗凱撒海鮮沙拉 $260 有好吃的炙燒天使蝦跟炙燒干貝 生菜跟醬也都好吃 🥔明太子洋芋 $200 明太子份量沒有到鋪滿或厚鋪 馬鈴薯很飽 還行 🦑鹽烤透抽 $380 烤過淋檸檬風味真的很好 但太有嚼勁嘴巴好酸 🥣鮮魚味噌湯 $30 可能🈶味素喝完很渴 🍮阿立布丁 $120 還不錯但8、90比較值得 💣轟炸可樂餅 贈  建議訂位 評論有很多沒訂位的苦主 環境漂亮氛圍很好 廁所也很乾淨 唯一雷點是 我豪邁的喝完一杯水 才發現杯緣有口紅印 蠻噁的🤮 換了同桌其他水杯 豪邁的再喝一杯水後 發現裡面有一些黑色顆粒懸浮物▪️ 跟服務員反應後才拿到（應該）乾淨的杯子 食物而言3.8🌟 考量到水杯3.3🌟,[4⭐] 謝謝🤩  很幸運訂到位💘  上餐速度算快  海鮮盒子也才780 覺得超划算  價格合理 食材新鮮  松露茶碗真很香  霸特 吃起來就沒有松露味的感覺  鬼頭刀三明治🥪很厲害  看起來像炸雞 炸豬排 沒有魚刺  厲害，是他的醬香香辣辣地  一定要趁熱吃  午魚🐟肉質很嫩 但要小心細刺  吃到最後差點忘了我們還有一道甜點  一看就是手工做的  可惜的是～一吃好像帶有一點微微的椰子味，我不愛  值得一提的是這裡有賣貴婦蜂蜜檸檬氣泡飲很便宜才$90  我團購都不只這個錢了 當然有買過最便宜的時候，但是他這個開價實在是太划算👍  服務生只有兩位需要服務的時候就得等  以上僅供參考,[5⭐] 喜歡吃生魚片的朋友在哪裡！ 這間超高CP值的日料店你們不能錯過😍 最低只要220元就能吃得到小資海鮮丼 😆🦐超推大脂海鮮珠寶盒 能同時吃得到10種生魚片 搭配醋飯更有飽足感💕 🦪不想吃飯的朋友可以選擇豪華海景刺身 用料都很實在 生魚片也很新鮮🤤 🍣綜合15貫直接滿足生魚片及炙燒握壽司 熟食推薦起士玉子燒、蒜香奶油蝦佐麵包🥖 最後的布丁也完全不輸甜點店 每一道都無雷 朋友家人都很喜歡推薦給你們👍,2_THE·春 Fusion 中山（最後收客時間 2030）
小酌之家,10491台灣臺北市中山區吉林路420號,4.6,,1.7 km,24 mins,[5⭐] 台菜的天花板 不愧是米其林必比登推薦餐廳 鮮鮑魚烏骨雞湯👍 牛舌，白斬雞，清蒸鮮魚…..每道菜都超乎預期的感官,[4⭐] 生意很好的台菜小餐廳 餐點便宜好吃人均一千上下 店內桌數不多但空間小所以偏吵 大概是熱炒店的熱鬧程度 此次用餐10人，老闆建議直接配好桌菜很方便 付款方式僅現金或轉帳無其他  鮑魚烏骨雞湯不愧是招牌 湯鮮味美，裡面的鮑魚和雞肉都軟嫩好吃  蒜泥鮮蚵新鮮飽滿  烤軟絲 非常漂亮的色澤 配上山葵椒鹽很不錯  乾扁肥腸 油收得很好不會太油也不會過乾  烤豬腳 很大盤比較像滷豬腳 皮Q肉嫩很好吃  魚有兩條～清蒸紅嘴魚和香煎馬頭魚 兩個都很好吃，紅嘴魚的魚汁另外用來煎蛋很香  最後的炒高麗菜清甜、炒飯粒粒分明有水準😋  有機會會再回訪試試別的菜,[5⭐] 與朋友聚餐，請老闆配餐合菜，8大一小共配九千元。真的物超所值！！會想在回訪的店家，食材新鮮，簡單卻每道菜都將食材本質發揮到最好，鮑魚雞湯果然名不虛傳，好喝香醇到不行，雞肉嫩香，連鮑魚都是嫩的，絕對在回訪！老闆親切，滿滿的人情味超讚👍  烏骨雞鮑魚湯： 雞肉輕輕一撥就跟骨肉分離，鮑魚也是軟嫩無比，中藥材湯底溫順，會想一碗接一碗喝光光  鮮魚： 完全忘記名字😅但是經過老闆介紹，覺得真的人才他所說，一道清蒸的鮮嫩彈牙，一道炸魚外酥內軟，著實厲害  魚香煎蛋： 口感極佳，軟嫩像入口即化，配上魚汁的精華，簡單食材卻創造出驚艷的美味  干扁肥腸： 脆、爽 一上桌就掃盤的好吃  炒飯： 完滿的收尾，粒粒分明，每顆飯粒都晶瑩飽滿，香氣十足，口味不會太重，前面大魚大肉的，安排在最後一道樸實無華收尾真的很滿足。  總結： 沒有一道雷的，每道菜一上桌基本上馬上就被掃盤了，絕對會在回訪的餐廳👍👍👍👍,3_小酌之家
POTTI & POTTI CAFE,103台灣臺北市大同區民族西路225巷5號,4.5,,1.1 km,16 mins,[5⭐] 套餐搭配的麵包調味很特別 吃起來好像帶著一點檸檬味🍋(?) 蘑菇湯喝起來不是很勾芡的口感 比較清爽感～ 奶油鮭魚燉飯比較意外的是居然是給一整片魚肉 但奶油白醬基底似乎還是更適合分食 吃到後面會有一點膩 龍蝦醬鮮蝦義大利麵比較像清炒的做法 滿滿蝦味非常美味😋 整體而言在台北市能以這樣的價格 吃到滿滿料的餐點也是越來越困難了 雖然離捷運站有一小段距離 但是若剛好有機會來到附近 還是很推薦一試喔🤎,"[4⭐] 食物好吃,服務不錯,氣氛很好,價格略高",[5⭐] 點了牛肝菌野菇燉飯，有乾杏鮑菇脆片很好吃,4_POTTI & POTTI CAFE
義麵盒子,10491台灣臺北市中山區撫順街10之1號,4.6,,1.2 km,16 mins,[3⭐] 學生證可免費 換一份香蒜吐司 點義大利麵 可享飲料免費無限喝 義大利麵一上桌 會發現麵體與醬味道分離 手動混合後 口味就會好一些 煎雞腿排皮脆好吃 醬汁都屬於偏淡口味,[3⭐] 剛搬新家從隔壁，異國風味裝潢清新明亮意，大利麵不錯吃，可惜生菜沙拉不新鮮都已黃葉蘋果也凍傷。,[4⭐] 食物 🍲: 《奶油香料雞肉》190元 白醬是比較稀的 麵條滑順 有香料的微微香味 符合這價位該有的水準  付款 💳:  線上付款(linepay 刷卡)  總評 ⭐️:  環境寬敞 飲料跟水可以無限喝 cp值很高 禮拜日晚上來不用等,5_義麵盒子
TakeOut Burger&Cafe 民權店,104台灣台北市中山区抚顺街11號1樓,4.7,,1.2 km,16 mins,[5⭐] 貓咪超級可愛。餐點好吃但份量不大。餐廳氛圍很棒，適合聊天。限時兩小時,[5⭐] 渣南看到毛線圍巾就直接上來了啊啊啊啊啊  超可愛  而且很好摸 超級親人的貓貓  我是點雙重起司漢堡 搭起司條飲料 我們一群8個 在樓下跟摸著兩隻貓貓開心的吃著漢堡   漢堡 薯條 起司條 魚條都很好吃 重點是貓貓好可愛！！！！！！！！！！,[4⭐] 有店貓就推～～ 用餐不用等候太久，紅茶超大杯🤩🤩 每次都來這邊魯貓邊吃burger 🍔 另外，上傳餐點照，可以兌換肉桂洋蔥圈,6_TakeOut Burger&Cafe 民權店
稻舍食館 迪化店,103台灣臺北市大同區迪化街一段329號,4.3,,2.1 km,29 mins,[4⭐] 環境整個氛圍舒適乾淨，上菜速度也令人滿意，小菜與主食的口味都很不錯，份量也足夠。三樓還能參觀，廁所也十分乾淨。唯獨本來很期待的豬油拌飯，因為米粒過乾影響口感，由於本身已經是喜歡偏乾的口感，但還是覺得有點不適應，希望能稍作調整，期待下次再訪。,[4⭐] 稻舍最厲害的就是香蔥豬油拌飯（提供熱豬油+冰醬油自己拌熱蔥飯）和懷舊紅燒肉，搭配小菜四季豆炒菇、芥末海帶芽泡菜和刈菜排骨湯$420，另外也點了香烤午仔魚客飯$360，雙棗燉牛板腱客飯$450，酥嫰豆乳雞客飯$360，外加10%服務費。 趁上菜前逛了一下百年老宅，走到後面看天井，爬上二樓古老木樓梯，古色古香，味口大開。,[5⭐] 「稻舍食館」一直躺在我的收藏夾裡好久，今天走過去剛好看到開門、剛好有空的座位、剛好我還沒吃飯，這三個剛好直接把我推進門。  主餐完全沒讓我失望。烤雞腿鮮嫩不柴、外皮微焦香到剛剛好，是那種一切開就知道廚師功力的熟度。而午仔魚更是驚喜，烤得外皮恰恰、魚肉細緻多汁，不誇張，連魚皮都香到讓人捨不得放過。紅燒肉也超級強，滷得非常入味，肥瘦比例漂亮，湯汁一淋在飯上，白飯瞬間蒸發得比綠咖哩還快。  小菜雖然是涼菜，但搭起來意外非常順口，海帶絲酸爽清新、油豆腐和豆干也都很耐吃。豬油拌飯是整套裡最有儀式感的地方，自己動手拌才好吃。豬油繞兩圈、醬油繞一圈，攪開後香氣直接衝腦門，每一口都是樸實卻幸福的味道。  附湯濃郁到不像「附湯」，喝得出用心。而餐後熱茶更是整個下午的完美句點。我們三個人點了兩壺，被店家熱情回沖到第三次，結果一坐就是整個下午，彷彿不小心把這裡當成自家客廳。  總結：稻舍食館是一間會讓人想再訪、再回味的店。雞腿、午仔魚、紅燒肉各有亮點，涼菜爽口、豬油拌飯好玩又好吃，熱茶更讓整餐變完整。是一家吃完會想默默說「還好今天路過」的療癒系餐館。,7_稻舍食館 迪化店
•壹柒食堂•,"10362台灣臺北市大同區大龍街70號No70, Dalong St",4.8,,1.1 km,16 mins,[1⭐] 要確定這種超粗纖維地瓜可以拿出來賣欸….如果原料真的不好其實不用硬拿出來用…口味都是水煮，份量正常，150cp值超低，房租完全轉嫁的感覺,[1⭐] 以前訂購過幾次都很喜歡，但今天之後不會想再吃了，滿滿的玉米毛豆充當青菜，平台上這樣一份$200⋯⋯ 單點的肉+2份炒青菜（$90+$80*2=$250）卻很正常 代表明明是有正常青菜的，最近也沒什麼災情導致蔬菜難買，真的很失望難過,[5⭐] 第一次經過購買，看到老闆娘現點現做炒青菜嚇到，很難得有這樣的現炒餐點CP值很高，很幸福的美味餐點，謝謝,8_•壹柒食堂•
安安生魚小料理（位子很少請於營業時間致電訂位💕）,103台灣臺北市大同區大龍街91巷30號,4.8,,0.8 km,11 mins,[5⭐] 第一次來這邊吃飯，店雖小也客滿，但是用餐過程不會覺得空間狹窄侷促，整個氛圍很溫馨。  這次點了4道菜，每一樣海鮮都很新鮮，醋飯口感很好是我喜歡的味道，鴨胸感覺是必點的，軟嫩度剛剛好，是會再訪的一家店。  要來用餐記得要事先預訂！不然會撲空，因為生意真的挺好的,[5⭐] 小小店面人潮絡繹不絕！位子不多建議訂位～海鮮都非常新鮮 生魚片 海膽 透抽新鮮之外 份量很有誠意！最厲害的是醋飯 醋味恰到好處還粒粒分明 大加分😌🩷  #台北 #台北美食 #民權西路美食 #安安生魚小料理 #壽司 #生魚片 #丼飯 #鮭魚 #海膽,[5⭐] 哇 好吃 大自然的海味 真的在魚種的展現無遺 ，海膽品質很高 ！ 好吃 會再訪 沖繩啤酒有淡淡蜂蜜味 喜歡 連裝生魚片的盤子都是冰的 ！ 太細節了 ➕100分 ❤️,9_安安生魚小料理（位子很少請於營業時間致電訂位💕）
你回來了型男食堂,10491台灣臺北市中山區民權東路二段71巷12號,4.7,,2.1 km,30 mins,[5⭐] 日式巷子內生牛肉 $300好吃😋 明太子薯來飽 $120 馬鈴薯是塊狀的，乳酪絲放的很夠超讚 起司炸豆腐  $100 還不錯，份量剛剛好，不會太多。 炸玉米筍 $30 有三根，醬沾好沾滿很好吃。 三種小確幸 $440 - 超好吃培根捲雙醬吐司 培根夾奶酥吐司跟花生吐司都超讚！ - 醬烤招牌和牛串 很嫩好吃，趁熱吃不會膩 - 鹽蔥雞腿肉 雞肉蠻嫩，醬好吃,[5⭐] 雖然這裡用的不一定是頂級奢華的食材，但每一道料理都能感受到主廚的用心。火候到位，把平凡的食材處理得很有層次，沒有馬馬虎虎的應付感。加上服務親切，即使忙碌也像在招待朋友一樣，是一間充滿溫度的實力小店。,[5⭐] 間店係對得住個店名，都是型男😎，本來會以為型男都會好寸嘴嗰啲，點知服務態度溫柔度都很好。涼涼地可以坐outdoor，嘢食d口味唔錯，鯖魚配胡椒鹽，掂！推介蔬菜係山藥同埋筍。食咁多嗌埋啤酒都係八舊水台幣埋單。正👍🏽,10_你回來了型男食堂
