店名,地址,平均評分,總評分人數,步行距離,預計步行時間,評論1,評論2,評論3,圖片資料夾
歐吧噠韓餐酒 圓山花博店 오빠닭 감성포차 Oppadak Korean Cuisine,10491台灣臺北市中山區玉門街1-7號,4.4,,0.6 km,7 mins,[5⭐] 逛美術館餓了跑來看有什麼好吃的，路過看到餐廳看起來很精緻，在外面看了一下菜單，老闆很熱情的前來詢問就進來了。 裏面空間不大，但很乾淨，也有空調，當天是週日前往，裏面人大概8-9成滿。 我們三個人點了兩人的菜單$1199、再加一成服務費，一人400多吃韓式說實話也不算貴。  點餐完之後上菜速度很快，而且店員很帥，看了就很賞心悅目（？）  原本不期待在圓山這邊吃到多好吃的韓式料理，第一道上了韓式去骨炸雞，吃下去真的嚇到，真的有在好吃，外面皮很脆，裏面肉很嫩，而且味道真的有辣，超級讚。  現場還有招待一盤免費小菜，有年糕、蘿蔔跟豆芽，都不雷。  再來上了海鮮煎餅，一樣是外酥內軟，裏面直接吃到一整根章魚腳（？）不會看不到料，真的很實在的海鮮煎餅。  拳頭飯很香，單吃就很好吃，也可以搭配小菜或是湯，都很適合。  最後，馬鈴薯排骨湯，第一次喝，馬鈴薯跟排骨都很軟，真的有入味，不是隨便燉隨便出，可以感受到店家的用心。  雙人餐還有兩瓶飲料可以選，整個套餐很經濟實惠。  下次有機會還會再來吃。 （原本不期待多好吃，所以沒拍照，吃下去才發現很好吃，趕快補拍，所以照片看起來很荒謬😂）  餐廳內有用投影機放韓團MV跟音樂，遇到很多韓料餐廳播中文歌或日文歌，吃到很出戲，總之是連現場氣氛都有顧及的用心好店👍,[3⭐] 第一次用餐時覺得很棒 但今天第二次光顧 辣牛肉湯飯、冬粉雜菜、炸醬麵吃起來都不像韓國料理 （湯飯裡的香菇很突兀，湯頭已經跟韓式無關了，雜菜就是黑胡椒鐵板豬柳，炸醬麵三成像吧） 海鮮煎餅上一次很驚艷，料多又酥脆，這次裡面吃起來很粉，口感有點軟爛 炸雞.....中規中矩但有點偏乾（只推薦甘醬）,[1⭐] 餐點不符合個人口味，不是太甜就太鹹😅 當天結帳當下店家希望我們以刷卡結帳，表示現金帳務當下不方便處理～建議若能用餐前告知會更理想,1_歐吧噠韓餐酒 圓山花博店 오빠닭 감성포차 Oppadak Korean Cuisine
Sizzle,104027台灣臺北市中山區玉門街一號Maji集食行樂，靠近捷運站的第二間貨櫃,4.5,,0.3 km,4 mins,[5⭐] 茶系列調酒很好喝 這個價位可以接受，聽店員說不定時有活動 期待！,[4⭐] 炸雞有汁好吃 茶系列調酒也讚,[5⭐] 炸雞是最頂的那種 老闆很好聊（會喝） 推薦晚上去花博玩的可以去看看,2_Sizzle
覓‘s咖啡小酒館 Miss Coffee Bar,10491台灣臺北市中山區雙城街49巷1號,4.8,,0.9 km,12 mins,[4⭐] 🔅實際到訪日期：2025/08/30 *照片未經允許請勿轉載&商業  原本想吃的店沒有位置，臨時找到這家。  ▪️焗烤義式牛肉千層麵 $230 ▪️西西里雷夢咖啡 $150 千層麵的起司份量給的很多，口味就是一般常見的紅醬，吃到後面蠻飽的，不過搭配肉醬也不至於到太膩。西西里中規中矩，因為杯子偏高攪拌無法太均勻，前面喝到底部比較甜，後面又是咖啡的苦，不到順口但很消暑。  ▪️雞塊 ▪️手打起司厚豬排堡 加薯條 ▪️焦糖海鹽瑪奇朵 ▪️港式凍檸冰茶 朋友點的品項，凍檸茶好喝不過有點甜（濃），可以加一點點水更完美。  整體來說，正常普通，店不大吃到後面人比較多廚房油煙味很重，四人第一組入座被安排在矮桌，有兩個椅子是圓椅沒有靠背的坐起來比較不舒適。,"[4⭐] 一開始以為是單純網美擺拍的早午餐店，結果發現裡面餐點豐富好吃！  點了歐姆蛋烤時蔬，還有雞腿沙拉。裡面的烤時蔬令人驚艷！蔬菜很大塊+多汁， 非常好吃～歐姆蛋也很搭配濃郁的咖哩，不會辣，很好吃～ 如果歐姆蛋烤時蔬能將裡面的沙拉全換成烤時蔬會更好👍  PS,如果內用一定都要抵消一杯飲料/酒。飲料也是很多元～另外也建議在離逢時間內用，比較不會擠人",[5⭐] 店的地址好像更像在雙城街上而不是雙城街49巷1號😅 蔓越莓汁真的蠻好喝的，用乾燥檸檬片點綴，不會太甜。 漢堡味道不錯，我是聽住在美國的客人說漢堡的味道很接近美國的漢堡，所以特別來吃吃看的。 因為沒收服務費，價錢真的不貴，一個漢堡加薯條+一杯蔓越莓汁只要300出頭。 平常吃漢堡都是先付費的，這裡是吃完才結帳，我還忘記付錢就離開了😅，還好經店員提醒才回去付帳，我是認為要是吃完才結帳，好歹也要把帳單先放一份在客人桌上，這樣或許客人才不會忘記結帳。讓我想起之前也是看網紅介紹去八斗子附近的一家賣小卷米粉湯的店消費，也是吃完才結帳，也是沒有附一份出菜單在桌上，結果我都忘記付錢就走出去，而且已經騎車離開一段路才想起，對喔！我還沒付錢耶！然後趕緊回去付錢。我真的建議店家最好養成先買單的習慣，就跟麥當勞一樣。沒什麼不好的，這樣可以防止有心人跑單，衍生出很多不必要的後續糾紛，要是不方便，最起碼也要放一份帳單在桌上，這樣才能預防記憶力衰退的客人不小心忘記結帳。,3_覓‘s咖啡小酒館 Miss Coffee Bar
酒食無雙,103台灣臺北市大同區民族西路193號,4.4,,0.9 km,13 mins,[1⭐] 感謝店家回覆，首先我僅用此帳號留言，也謝謝商家願意協助改善。 --- 作為附近住戶的真實反饋 作為這附近的居民，我必須誠實地反映這家店對周邊環境造成的影響。  店家的餐飲與酒類服務或許有其特色，但營業方式對附近住戶造成了長期困擾。主要問題包括：  噪音問題： ●晚餐時段至深夜，客人飲酒後談話音量過大 ●缺乏有效的隔音設施，聲音直接傳入住宅區 ●店家未能適時提醒或約束客人控制音量  安全疑慮： ●醉客有時會走到馬路上，而這條路段大型車輛（巴士、卡車）頻繁通行，存在安全風險  核心問題： 一家店的營利不應建立在犧牲周邊居民的生活品質之上。我們理解商家需要經營，但同樣地，居民也有基本的夜間安寧權利。  懇切建議，希望店家能夠： ●加裝適當的隔音設備 ●明確告知客人注意音量，尊重周邊住戶 ●管理醉客行為，確保安全 ●考慮調整營業時段或方式  若店家無法改善這些問題，建議重新評估此地點是否適合這類型營業模式。  鄰里和諧需要雙方的理解與配合，期待店家能正視並改善這些問題。,[5⭐] 今年的家庭生日餐會麻煩Ben，主廚 Jason 的法餐相當好，有Michelin 的水平，酒款的選擇也十分優秀。真正的酒食無雙。,[5⭐] 食材一流 廚藝無雙 而且老闆兼主廚Ben哥推薦的搭酒推薦超棒 這次慶生的菜式包括 蜜瓜伊比利火腿 雙殼處女蟳 夜來香花苞真圓鱈 香煎桂丁雞胸 戰斧牛排 蒜頭蚌殼雞湯煲(位上) #大滿足,4_酒食無雙
魯蛋茶酒館-迪化,103台灣臺北市大同區迪化街一段333號,4.5,,2.0 km,29 mins,[5⭐] 初訪時，朋友包場在這辦party ，隱身在街道裡的魯蛋茶酒館真的很有魅力，能開在充滿人文氣息和傳統文化的迪化街裡，讓人不僅能在百年老宅與朋友相談甚歡，老宅的溫度與夜生活也溫潤舒緩了台北的生活步調.....,[5⭐] 裝潢很有氣氛，座位不多，飲品很多選擇，餐點熱食要等比較久，好像從別的地方送過來的，味道都不錯吃！老闆很Nice！,[4⭐] 飲品很棒 服務很棒 週日下午駐唱則則也很棒 真是不錯的組合,5_魯蛋茶酒館-迪化
布娜飛紅酒餐酒館Bravo Wine,104台灣臺北市中山區林森北路477號B1,4.7,,1.8 km,25 mins,[5⭐] 環境 當天是離峰時間去用餐，加上是平常日時段，所以沒有甚麼用餐客人 餐桌椅已經裝潢很雅致，喝酒聊天很有氛圍感 餐點 主食類價格親人，而且意外地美味好吃 脆皮豬腳外皮酥脆肉質軟嫩很有水準 飲料價格也不算貴而且用料豐富 酒櫃的葡萄酒機器裡面標價明白 我們四人嘗試了許多不同價位的酒款 只能說 櫃檯酷酷地小哥真的很會推薦 跟餐點都好搭配 很推薦家庭親友同事的聚會,[4⭐] 想試很多酒款但不至於廉價酒款的可以嘗試，週二晚上來人不多，燈光明亮，安靜可聊天，卡片感應有時會出問題，但櫃檯人員都會來幫忙解決。餐點不貴，不過也有水準以上。,"[4⭐] 少見的多種價位品牌的紅酒自助bar,以ml數計費，適合想嘗試不同口味紅酒的朋友",6_布娜飛紅酒餐酒館Bravo Wine
WINESWEE 威士威酒食超市 中山國小店,10491台灣臺北市中山區民權東路一段45號,4.5,,1.5 km,21 mins,[4⭐] 平價酒類連鎖店，餐點也平價高cp值，不限時，現場還有攜家帶眷與小朋友的家庭客歡樂聚餐，值得一試~,[5⭐] 與家人共進晚餐 點了燉飯、生蠔、德國豬腳 每樣都好好吃！以我們全家人的份量很剛好 因為這個人白酒比較嗜甜，所以較喜愛這支 ❤️2022德國白酒 THÖRLE Kabinett 精緻多汁雷司令 現場有些品項可以試喝👍🏻,[3⭐] 服務態度超級差，但食物非常好吃，就看你要不要看服務生臉色配好吃的料理。（酒也不錯）,7_WINESWEE 威士威酒食超市 中山國小店
Le Wine Bar,103031台灣臺北市大同區承德路三段191巷12號,5,,0.4 km,5 mins,[5⭐] 每次的到訪 提供的酒都極具水準 環境簡約私密 在圓山站旁鬧中取靜 很適合一個人放鬆好去處,[5⭐] Le Wine Bar 對我來說不僅是一個能喝到美味葡萄酒的地方，更是能夠徹底放鬆的場所。每次來訪，Melody 總能根據我們的喜好推薦出合適的酒款。值得一提的是，作為葡萄酒初學者，我第一次參加品飲會時，不僅感受到這裡的氣氛宜人，也完全不必擔心自己的知識不足會影響交流。這裡的每個人都非常熱情，樂於分享他們的經驗，讓人倍感親切。這間葡萄酒專賣店實在是值得一再造訪的好地方。,[5⭐] 雖然是勃根地的專業藏酒店，品項有三百多種，但即使對於紅白酒沒有這麼熟悉的客人來說，親切的服務介紹、便利的單杯價格設定（300-500），不會是需要擔心踏入的店家  對於想要近一步品飲的客人來說，這邊專攻勃根地、品項廣又多，可能會從這個去考量  位置有三四桌四人小桌，也有一張十人大長桌，去圓山附近參加活動後，想要優雅小酌一杯，除了附近熱熱鬧鬧的酒吧，較為安靜典雅又平易近人的 Le Wine Bar 也是一個選項  照片附上紅酒單杯，跟冷盤小點的價格跟品項參考，另有一些簡單熱食，eg：水餃，今天沒有特別嘗試，但應該不是重點品項,8_Le Wine Bar
哈泰 泰式料理 花博店,10452台灣臺北市中山區玉門街1號,4.5,,0.4 km,6 mins,[5⭐] 最近晚上好吃的泰式料理，豐富更多的美食，泰式清蒸檸檬魚、涼拌海鮮沙拉、打拋豬肉、綠咖哩所推薦的餐廳。不僅如此，還吃的津津有味。,[2⭐] 東西不會到難吃但就是meh，價格跟品質對不上，我們看圖點了一盤烤牛肉，售價700多結過來了一盤我覺得比夜市100元骰子牛肉還要糟糕的一盤肉，這滿欺騙的。以價格跟品質，質量的對比來說，超級無敵 不 推 薦。,[5⭐] 以餐點口味來說，就是台式的泰式料理，不驚艷，但就一般，價格還可接受，燈會期間來用餐，人較多，店家的人手就這樣，所以招呼沒有很快，要等，等到我必須主動出擊，不是沒耐心，而是一直被忽略，安排座位和點餐都是如此，比我晚來的兩三組都點餐了，就算早早知道要點什麼，叫了沒人來沒人注意，店家可能覺得我很急，若能QRCODE點餐就好了，不過至少上餐很快，不知道沒活動時是不是也是這樣，旁邊有駐唱，所以坐在店外吃飯會很吵雜，但聽歌也不錯,9_哈泰 泰式料理 花博店
春風得意,103台灣臺北市大同區迪化街一段333號,4.5,,2.0 km,29 mins,[2⭐] 店內氣氛好 古色古香 調酒有特色 好喝 今天點了射手座跟金牛座 最大的問題是蚊子！ 蚊子！！！ 逼瘋人 希望店家可以裝個冷氣….,[5⭐] 在迪化街上的一間小酒館，最特色的地方是古式建築，餐點跟酒品的話老實說並沒有特別驚艷，但也因為氣氛好，所以是個可以發呆的好地方～,[5⭐] 下雨天偶然經過的店，店內氣氛不錯，餐點好吃，推薦給大家。 -   -   -   -   -   - 2024.12.1（日）二訪 推薦招牌必點奶酪$120，融合臺灣特色風味的甜點，初訪時點的星座調酒（水瓶座）也好喝，推薦給大家。,10_春風得意
